,,,comprehensiveness,comprehensiveness,sufficiency,sufficiency
,,,mean,std,mean,std
method,window_ms,topk_frac,,,,
integrated_gradients,,0.05,2.401866197772324,2.861813345089755,-4.127317849993705,2.213392627203308
integrated_gradients,,0.1,4.015684527754783,3.8893195713700757,-3.429382290840149,3.133880519333493
integrated_gradients,,0.2,4.31945824354887,4.415674537637963,-1.5813260010257364,4.703280661826876
occlusion,20.0,0.05,1.2960592764616012,1.9726747487508174,-2.5144819158315657,2.400228966446618
occlusion,20.0,0.1,2.4728208994865417,2.7050353836600576,-3.7559154343605043,2.0116934423584394
occlusion,20.0,0.2,3.6147929065302016,3.3337870439619404,-3.1541021065413952,2.9998921737827637
occlusion,50.0,0.05,1.3368248330056667,1.7663392055488087,-1.7416835154592991,2.139289654222584
occlusion,50.0,0.1,2.411135945469141,2.4994149134234274,-2.6663888987898825,2.6204341841063292
occlusion,50.0,0.2,3.3368553560599685,3.045240775016385,-2.2217882550507784,3.5387125746423043
occlusion,100.0,0.05,1.0272761709988116,1.534178352482128,-0.6429071960225702,2.4267973986298617
occlusion,100.0,0.1,1.6633216652274132,1.9629657553499305,-1.359272141493857,3.1833515648045667
occlusion,100.0,0.2,2.6713146252557634,2.5888658190655014,-1.2681899918988346,4.030876667570136
