,,,silence_overlap_frac,silence_overlap_frac,overlap_over_chance,overlap_over_chance
,,,mean,std,mean,std
method,topk_frac,Class,,,,
integrated_gradients,0.05,Bonafide,0.010922600619195047,0.016235917840647218,0.030619235019410124,0.04615500330325072
integrated_gradients,0.05,Spoof,0.022000000000000002,0.0463377670181115,0.341529326668024,0.8301725874435114
integrated_gradients,0.1,Bonafide,0.017479876160990712,0.0196297774867872,0.04711204242894749,0.05701084651971503
integrated_gradients,0.1,Spoof,0.022557275541795666,0.039815960561745904,0.3055399155264244,0.6425576663048934
integrated_gradients,0.2,Bonafide,0.0451671826625387,0.04582561789849605,0.105749213999207,0.08645239847970292
integrated_gradients,0.2,Spoof,0.026625386996904025,0.04027279460380509,0.2946528319041245,0.5016522946987189
occlusion,0.05,Bonafide,0.002476780185758514,0.01751348064858322,0.006487187804086928,0.04587134487100536
occlusion,0.05,Spoof,0.09777089783281735,0.15770640062238533,1.0848359213512895,2.0051042477079837
occlusion,0.1,Bonafide,0.006191950464396285,0.03593117383739921,0.016679451562230913,0.09489465914708504
occlusion,0.1,Spoof,0.07643962848297214,0.12026214762262274,0.7474917401583261,1.2490386875351633
occlusion,0.2,Bonafide,0.014414860681114552,0.03971507567123704,0.02933223540863735,0.08627094531011996
occlusion,0.2,Spoof,0.06777708978328173,0.10704187820946083,0.5858329032517634,0.9286542397119113
