language,feature,rho,p_spearman,ci_lo,ci_hi,n_samples,n_clusters,n_bootstrap,bootstrap_unit,seed
english,low_frac,-0.30456645664566456,0.002063638275452784,-0.4721142841462018,-0.1142895438954942,100,99,2000,speaker,11235
english,mid_frac,0.28250825082508246,0.004402015949816515,0.08749218112183643,0.45537979655636096,100,99,2000,speaker,11236
english,high_frac,0.3385058505850585,0.000571514605031603,0.13216081269330407,0.5190733857652441,100,99,2000,speaker,11237
english,gini,0.15320732073207316,0.12805649724498233,-0.0676239957484399,0.3575402897571955,100,99,2000,speaker,11238
english,entropy,-0.19878787878787876,0.047398589374086274,-0.39265899086512596,-0.004530220412358789,100,99,2000,speaker,11239
english,topk_1pct,0.28298829882988297,0.004332711843376613,0.07322094438420931,0.4619980938713608,100,99,2000,speaker,11240
english,topk_5pct,0.24310831083108309,0.014801444975171118,0.039104931072558226,0.42138194921735656,100,99,2000,speaker,11241
english,topk_10pct,0.21598559855985597,0.030908834874669888,0.026746822315471597,0.40260750347460084,100,99,2000,speaker,11242
hindi,low_frac,-0.545046504650465,4.5453269866300104e-09,-0.7156690712427307,-0.33129559602428954,100,86,2000,speaker,11243
hindi,mid_frac,0.429054905490549,8.427904548358227e-06,0.2196641771129297,0.6028664095212283,100,86,2000,speaker,11244
hindi,high_frac,0.5528592859285928,2.457391591635121e-09,0.33909187524337686,0.7213297953293394,100,86,2000,speaker,11245
hindi,gini,0.1825022502250225,0.06916005705713336,-0.016796514362121595,0.3759514006155001,100,86,2000,speaker,11246
hindi,entropy,-0.23515151515151514,0.018518888425208466,-0.4214034323576145,-0.024717219799682173,100,86,2000,speaker,11247
hindi,topk_1pct,0.28409240924092405,0.004176995248530574,0.071711457221663,0.4726042300806211,100,86,2000,speaker,11248
hindi,topk_5pct,0.27769576957695763,0.005153406729463123,0.07516606417431412,0.46385004345019853,100,86,2000,speaker,11249
hindi,topk_10pct,0.23645964596459645,0.0178574287964414,0.029427359879622153,0.43183721314112355,100,86,2000,speaker,11250
