pair_id,cluster,role,path,duration_s,rms,peak,content_fraction
0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,real,english_griffinlim_eval_final/real_english/english_real_0000.wav,7.56,0.07267056197368553,0.56182861328125,1.0
0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,fake,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0000.wav,7.56,0.07267078527006897,0.578338623046875,1.0
1,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,real,english_griffinlim_eval_final/real_english/english_real_0001.wav,4.68,0.0733954751440948,0.571380615234375,1.0
1,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,fake,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0001.wav,4.68,0.07339568532786757,0.506622314453125,1.0
2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,real,english_griffinlim_eval_final/real_english/english_real_0002.wav,7.296,0.11555825168415244,0.803009033203125,1.0
2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,fake,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0002.wav,7.296,0.09134105502886192,0.989990234375,1.0
3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,real,english_griffinlim_eval_final/real_english/english_real_0003.wav,6.528,0.0829328185183475,0.918701171875,1.0
3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,fake,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0003.wav,6.528,0.08293305756482464,0.95294189453125,1.0
4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,real,english_griffinlim_eval_final/real_english/english_real_0004.wav,4.716,0.06319529787870203,0.6224365234375,1.0
4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,fake,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0004.wav,4.716,0.06319547307153349,0.663421630859375,1.0
5,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,real,english_griffinlim_eval_final/real_english/english_real_0005.wav,2.808,0.1976700945991051,0.999969482421875,0.6954798761609907
5,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,fake,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0005.wav,2.808,0.1463586499894575,0.989990234375,0.6954798761609907
6,ea39e5b1167b73b71b84a9fc11f61de538300ac3202879293f05a1967f57e9039faeb00684199a7b7a0f5f52255eb5afea7f847cdf3310cff4db57cbc82194cc,real,english_griffinlim_eval_final/real_english/english_real_0006.wav,7.452,0.09419173085787708,0.812103271484375,1.0
6,ea39e5b1167b73b71b84a9fc11f61de538300ac3202879293f05a1967f57e9039faeb00684199a7b7a0f5f52255eb5afea7f847cdf3310cff4db57cbc82194cc,fake,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0006.wav,7.452,0.09419190111114453,0.802642822265625,1.0
7,02718e6068e2d4292ebb32deaefc1cb424d3bf323c8fbd29225d1265b58089ef26ad1e5295382ecd05c48a150ff399f46d10059e2491b98ceb5b08c498afb1eb,real,english_griffinlim_eval_final/real_english/english_real_0007.wav,3.984,0.028364761978114054,0.2706298828125,0.9867492260061921
7,02718e6068e2d4292ebb32deaefc1cb424d3bf323c8fbd29225d1265b58089ef26ad1e5295382ecd05c48a150ff399f46d10059e2491b98ceb5b08c498afb1eb,fake,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0007.wav,3.984,0.028365210029015018,0.275115966796875,0.9867492260061921
8,287db5b3c7065ffc1e6827c0bc87dc4a6b6a45c159642fe8d490d5adb6ce18a5b4b528f921503762bbb20b1fcd84f5f8256a9a11cd4ccf55964f301b416b08d2,real,english_griffinlim_eval_final/real_english/english_real_0008.wav,4.5,0.04609460010274878,0.338104248046875,1.0
