comparison,feature,mean_a,mean_b,mean_difference_b_minus_a,ci_lo,ci_hi,p_value,effect_size,test,bootstrap_unit,q_value_bh
cross_language_fake,low_frac,0.734781301116983,0.4458029297515431,-0.2889783713654399,-0.3339983996402462,-0.24271955629971112,3.316245288853443e-21,-1.8867465244765846,Mann-Whitney U + cluster bootstrap,speaker,1.6581226444267214e-20
cross_language_fake,mid_frac,0.19820357358287505,0.3081155519071926,0.10991197832431754,0.08348662961270187,0.13559195994415765,2.7946732627616583e-14,1.1662128697721525,Mann-Whitney U + cluster bootstrap,speaker,9.315577542538861e-14
cross_language_fake,high_frac,0.06701512530014185,0.24608151834126432,0.17906639304112248,0.1577634126687942,0.19907749281033527,8.882024370997482e-24,2.4498957271191304,Mann-Whitney U + cluster bootstrap,speaker,8.882024370997483e-23
cross_language_fake,speech_frac,0.9999641531705856,0.9983957409858704,-0.0015684121847152621,-0.0028319979456416203,-0.0004993369383659575,0.04664987253669902,-0.36156039847333665,Mann-Whitney U + cluster bootstrap,speaker,0.07774978756116503
cross_language_fake,silence_frac,3.584678517654538e-05,0.0016042601922526955,0.0015684134070761502,0.0005434416363176534,0.002749470401089637,0.04664987253669902,0.3615606065826919,Mann-Whitney U + cluster bootstrap,speaker,0.07774978756116503
cross_language_fake,gini,0.7312339128663777,0.7214874075336811,-0.009746505332696609,-0.019802947611356717,0.0006126286029428291,0.23745238444310246,-0.2559908060406762,Mann-Whitney U + cluster bootstrap,speaker,0.3392176920615749
cross_language_fake,entropy,14.374257280686823,14.400222554457986,0.02596527377116331,-0.045315467283247236,0.10140869578686135,0.9095409481941399,0.09917966038852619,Mann-Whitney U + cluster bootstrap,speaker,0.9095409481941399
cross_language_fake,topk_1pct,0.16433289999784084,0.17432866581744288,0.009995765819602043,0.000522867218534634,0.018976443820000684,0.011561850508045828,0.2975713946096335,Mann-Whitney U + cluster bootstrap,speaker,0.02890462627011457
cross_language_fake,topk_5pct,0.42206462628048613,0.4208665872285699,-0.0011980390519162332,-0.016486949216432175,0.012915546986408928,0.5732979277414113,-0.02185165736189374,Mann-Whitney U + cluster bootstrap,speaker,0.7166224096767642
cross_language_fake,topk_10pct,0.586967146955141,0.5780844096155784,-0.008882737339562574,-0.02481668404699709,0.005525995100647869,0.7442787787026959,-0.16156328226006272,Mann-Whitney U + cluster bootstrap,speaker,0.8269764207807732
cross_language_real,low_frac,0.8548659311548948,0.896053740368036,0.041187809213141136,0.018994565366685805,0.06612651361724645,0.009631925706165195,0.5093426686806027,Mann-Whitney U + cluster bootstrap,speaker,0.048159628530825976
cross_language_real,mid_frac,0.11499256224891827,0.08741089635063513,-0.027581665898283134,-0.04829710121899187,-0.0071209057116239415,0.15394992736942237,-0.379601505627367,Mann-Whitney U + cluster bootstrap,speaker,0.5131664245647413
cross_language_real,high_frac,0.030141506596187036,0.016535363281328846,-0.01360614331485819,-0.021022375657174807,-0.006139975417049801,5.794241223429111e-07,-0.5673780850100871,Mann-Whitney U + cluster bootstrap,speaker,5.794241223429111e-06
cross_language_real,speech_frac,0.9853377211093902,0.9873993200063705,0.002061598896980321,-0.0017231547830433732,0.006060398700316965,0.9308722229958103,0.14270409001071396,Mann-Whitney U + cluster bootstrap,speaker,0.9308722229958104
cross_language_real,silence_frac,0.01466227887404358,0.012600690569177004,-0.002061588304866576,-0.0058690270243699025,0.0019206147466882888,0.9308685243056394,-0.142703400228964,Mann-Whitney U + cluster bootstrap,speaker,0.9308722229958104
cross_language_real,gini,0.7806081004486292,0.7759192909899066,-0.00468880945872252,-0.021389176836670687,0.011374379009975304,0.7740371347947012,-0.08046271195174512,Mann-Whitney U + cluster bootstrap,speaker,0.9308722229958104
cross_language_real,entropy,14.05815252139913,14.10434915913333,0.0461966377341998,-0.07829364367572597,0.1747533150932612,0.7516846029154188,0.10011677401441765,Mann-Whitney U + cluster bootstrap,speaker,0.9308722229958104
cross_language_real,topk_1pct,0.18418924564166833,0.180291968414129,-0.0038972772275393253,-0.01753425995917369,0.009518279000241131,0.7665644247812666,-0.08031483555554138,Mann-Whitney U + cluster bootstrap,speaker,0.9308722229958104
cross_language_real,topk_5pct,0.4638196514966845,0.45494093475623254,-0.008878716740451986,-0.03276816176231622,0.0143954340553874,0.6769726149470348,-0.10327117100363029,Mann-Whitney U + cluster bootstrap,speaker,0.9308722229958104
cross_language_real,topk_10pct,0.6392368811171331,0.6299244105670251,-0.009312470550107976,-0.03367381976262405,0.015394474907653843,0.6698372665970904,-0.10501311964308536,Mann-Whitney U + cluster bootstrap,speaker,0.9308722229958104
english_fake_minus_real,low_frac,0.8548659311548948,0.734781301116983,-0.1200846300379116,-0.13509840439057533,-0.10561462883545422,5.269204481546392e-18,-1.6102966107556629,Wilcoxon signed-rank + pair bootstrap,pair,2.6346022407731963e-17
english_fake_minus_real,mid_frac,0.11499256224891827,0.19820357358287505,0.08321101133395677,0.07303355362900912,0.09342874895026403,4.9610417082651575e-18,1.5870139023591643,Wilcoxon signed-rank + pair bootstrap,pair,2.6346022407731963e-17
english_fake_minus_real,high_frac,0.030141506596187036,0.06701512530014185,0.03687361870395482,0.031913062862749864,0.04222212250758396,2.8782421504419467e-17,1.4076437041477792,Wilcoxon signed-rank + pair bootstrap,pair,9.594140501473156e-17
english_fake_minus_real,speech_frac,0.9853377211093902,0.9999641531705856,0.014626432061195373,0.011606156557798387,0.01777681729197502,4.610295599691258e-17,0.9273290880267059,Wilcoxon signed-rank + pair bootstrap,pair,1.1525738999228146e-16
english_fake_minus_real,silence_frac,0.01466227887404358,3.584678517654538e-05,-0.014626432088867033,-0.017864807239183607,-0.011557653084065863,8.773719576153225e-17,-0.9273291136135337,Wilcoxon signed-rank + pair bootstrap,pair,1.754743915230645e-16
english_fake_minus_real,gini,0.7806081004486292,0.7312339128663777,-0.04937418758225121,-0.05685883213703281,-0.04182408654330648,2.46529261728969e-16,-1.2992012152509353,Wilcoxon signed-rank + pair bootstrap,pair,4.1088210288161496e-16
english_fake_minus_real,entropy,14.05815252139913,14.374257280686823,0.31610475928768755,0.2574415424294017,0.3758992347632956,6.81828860689298e-15,1.0625762436487722,Wilcoxon signed-rank + pair bootstrap,pair,9.7404122955614e-15
english_fake_minus_real,topk_1pct,0.18418924564166833,0.16433289999784084,-0.019856345643827513,-0.02601550890517839,-0.013947055197691585,1.1928664494909583e-08,-0.6389450132970724,Wilcoxon signed-rank + pair bootstrap,pair,1.1928664494909581e-08
english_fake_minus_real,topk_5pct,0.4638196514966845,0.42206462628048613,-0.041755025216198394,-0.051457452437056725,-0.03182196597510868,1.55625281041164e-11,-0.8475714719081711,Wilcoxon signed-rank + pair bootstrap,pair,1.729169789346267e-11
english_fake_minus_real,topk_10pct,0.6392368811171331,0.586967146955141,-0.05226973416199209,-0.06343053279089765,-0.04208552774745758,1.6409015596347118e-13,-0.9899675516078893,Wilcoxon signed-rank + pair bootstrap,pair,2.0511269495433899e-13
hindi_fake_minus_real,low_frac,0.896053740368036,0.4458029297515431,-0.4502508106164928,-0.48100174003215507,-0.41683225629100634,6.311606041551026e-18,-2.6002791453382845,Wilcoxon signed-rank + pair bootstrap,pair,2.3723591790733275e-17
hindi_fake_minus_real,mid_frac,0.08741089635063513,0.3081155519071926,0.22070465555655744,0.20421339740951736,0.23581004783658222,7.117077537219983e-18,2.6911681388507303,Wilcoxon signed-rank + pair bootstrap,pair,2.3723591790733275e-17
hindi_fake_minus_real,high_frac,0.016535363281328846,0.24608151834126432,0.22954615505993545,0.21051007007329,0.247642030164693,4.670683307897806e-18,2.409453610967807,Wilcoxon signed-rank + pair bootstrap,pair,2.3723591790733275e-17
hindi_fake_minus_real,speech_frac,0.9873993200063705,0.9983957409858704,0.010996420979499816,0.008516687333583833,0.01358728022873401,9.921785714890024e-14,0.8113200083564355,Wilcoxon signed-rank + pair bootstrap,pair,1.6536309524816705e-13
hindi_fake_minus_real,silence_frac,0.012600690569177004,0.0016042601922526955,-0.01099643037692431,-0.013765746879077142,-0.008425664771577034,9.921785714890024e-14,-0.8113215031065221,Wilcoxon signed-rank + pair bootstrap,pair,1.6536309524816705e-13
hindi_fake_minus_real,gini,0.7759192909899066,0.7214874075336811,-0.054431883456225606,-0.06398529340474124,-0.04464813596601153,1.1720978734947919e-14,-1.123764614616421,Wilcoxon signed-rank + pair bootstrap,pair,2.93024468373698e-14
hindi_fake_minus_real,entropy,14.10434915913333,14.400222554457986,0.2958733953246563,0.2227442059662146,0.3730198916735268,4.3608373720483984e-11,0.7800263662943987,Wilcoxon signed-rank + pair bootstrap,pair,6.229767674354855e-11
hindi_fake_minus_real,topk_1pct,0.180291968414129,0.17432866581744288,-0.0059633025966861035,-0.014215335310571692,0.002798005999145593,0.08747921121495726,-0.13346251885710983,Wilcoxon signed-rank + pair bootstrap,pair,0.08747921121495726
hindi_fake_minus_real,topk_5pct,0.45494093475623254,0.4208665872285699,-0.03407434752766269,-0.04739024443305702,-0.021072959681289062,3.5717586754763035e-06,-0.49220063688277266,Wilcoxon signed-rank + pair bootstrap,pair,3.968620750529226e-06
hindi_fake_minus_real,topk_10pct,0.6299244105670251,0.5780844096155784,-0.051840000951446676,-0.06557940010979976,-0.03833949300734472,2.929781311502822e-10,-0.7420247406709207,Wilcoxon signed-rank + pair bootstrap,pair,3.6622266393785277e-10
