language,label,condition,n,mean_delta,median_delta,q25,q75,positive_fraction,negative_fraction
english,fake,remove_high,100,-1.0328090481460095,-0.6452441811561584,-1.8246159851551056,-0.18930137157440186,0.07,0.93
english,fake,remove_low,100,2.0276423838734625,1.796677827835083,0.07269850373268127,3.8142434200271964,0.78,0.22
english,fake,remove_mid,100,0.8318520613014698,0.49432598799467087,-0.19947221875190735,1.8026683628559113,0.69,0.31
english,real,remove_high,100,-0.576292862482369,-0.3526017665863037,-0.8091890178620815,-0.07811427116394043,0.16,0.84
english,real,remove_low,100,-2.4830380902066826,-2.420679733157158,-4.429123058915138,-0.7398611344397068,0.14,0.86
english,real,remove_mid,100,-1.8241916982084512,-1.564976155757904,-2.8775903582572937,-0.7153572738170624,0.04,0.96
hindi,fake,remove_high,100,-0.6862851618602872,-0.5630263406783342,-0.9987883865833282,-0.2468237429857254,0.11,0.89
hindi,fake,remove_low,100,4.039043724946677,5.358006954193115,0.9665664434432983,6.726688653230667,0.86,0.14
hindi,fake,remove_mid,100,2.343186003640294,2.4604384303092957,0.6663565188646317,4.0086453184485435,0.86,0.14
hindi,real,remove_high,100,-0.6475828663259745,-0.37104272842407227,-0.977463461458683,-0.06262147426605225,0.14,0.86
hindi,real,remove_low,100,-1.900562335625291,-1.4885375201702118,-3.5656429529190063,-0.5995233654975891,0.17,0.83
hindi,real,remove_mid,100,-1.5425291072949767,-1.261409044265747,-2.162952557206154,-0.6064859628677368,0.06,0.94
