pair_id,cluster,role,path,duration_s,rms,peak,content_fraction
0,2f0f109ed0afdb1a06c0ad751e352d0e0dc41767609a511c4b9111a62769bc467468b5f4d3cf2c618cc479ca33b2a7b3412b01d883cfcb15d8cb23222912fd16,real,hindi_griffinlim_eval_final/real_hindi/hindi_real_0000.wav,4.5,0.05626483966011763,0.37920475006103516,1.0
0,2f0f109ed0afdb1a06c0ad751e352d0e0dc41767609a511c4b9111a62769bc467468b5f4d3cf2c618cc479ca33b2a7b3412b01d883cfcb15d8cb23222912fd16,fake,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0000.wav,4.5,0.0562648389632628,0.296069860458374,1.0
1,17e10c81b592f9aa499bd3ea283821d28dee580e2bfbf51ca891c71024bf0736cc26c5ef9790ef591ff7cf3136930b935c33bc7fb1c65c080ff270baf27c8fe5,real,hindi_griffinlim_eval_final/real_hindi/hindi_real_0001.wav,4.464,0.12568916280702075,0.9639067649841309,1.0
1,17e10c81b592f9aa499bd3ea283821d28dee580e2bfbf51ca891c71024bf0736cc26c5ef9790ef591ff7cf3136930b935c33bc7fb1c65c080ff270baf27c8fe5,fake,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0001.wav,4.464,0.12029990808043109,0.990020751953125,1.0
2,bd008914e8d61f280ef49d1b81b9ba5feafa0195842fb73953d414962085d13881380f143efa9cc3014fb5083f2ca49ec0ac216b23e48f676493303b320d17d3,real,hindi_griffinlim_eval_final/real_hindi/hindi_real_0002.wav,6.624,0.08498936207057102,0.7553626894950867,1.0
2,bd008914e8d61f280ef49d1b81b9ba5feafa0195842fb73953d414962085d13881380f143efa9cc3014fb5083f2ca49ec0ac216b23e48f676493303b320d17d3,fake,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0002.wav,6.624,0.08498936711298512,0.6232538223266602,1.0
3,76ae0779e8b42a6cebddc96f1c8be8cd17dc128ea3dc6c77c1afef491eb3334aec08ac644ce6b553783bec6530bcd7a8d7869d249d8fc4cbf394c176c2a03fe0,real,hindi_griffinlim_eval_final/real_hindi/hindi_real_0003.wav,3.204,0.0363299541516939,0.6504112482070923,0.793560371517028
3,76ae0779e8b42a6cebddc96f1c8be8cd17dc128ea3dc6c77c1afef491eb3334aec08ac644ce6b553783bec6530bcd7a8d7869d249d8fc4cbf394c176c2a03fe0,fake,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0003.wav,3.204,0.03632995848752952,0.20209240913391113,0.793560371517028
4,ef72dad515c406393c07ffac9b57e6cd1e83073c82a001d49ea19a30fd9976d0d50d4c5cffcfdbec8ea222c152695775d85c227194f2e56516531e1c8e76ff70,real,hindi_griffinlim_eval_final/real_hindi/hindi_real_0004.wav,4.392,0.11202071988545965,0.8875536322593689,1.0
4,ef72dad515c406393c07ffac9b57e6cd1e83073c82a001d49ea19a30fd9976d0d50d4c5cffcfdbec8ea222c152695775d85c227194f2e56516531e1c8e76ff70,fake,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0004.wav,4.392,0.11202071085479662,0.861562967300415,1.0
