method,feature,english_fake_minus_real,hindi_fake_minus_real,interaction_hindi_minus_english,ci_lo,ci_hi,descriptive_effect_size,n_english_pairs,n_hindi_pairs,n_english_speakers,n_hindi_speakers,bootstrap_unit,n_bootstrap
integrated_gradients,low_frac,-0.1200846300379116,-0.450250810616493,-0.33016618057858144,-0.36700413595528625,-0.2928314102463082,-1.5551759511436007,100,100,99,86,speaker,2000
integrated_gradients,mid_frac,0.0832110113339568,0.2207046555565574,0.13749364422260063,0.11712831107953972,0.1560863996849857,1.4133706622549393,100,100,99,86,speaker,2000
integrated_gradients,high_frac,0.03687361870395482,0.22954615505993547,0.19267253635598064,0.17164855839256152,0.21272170264639836,1.617785468384788,100,100,99,86,speaker,2000
integrated_gradients,speech_frac,0.014626432061195382,0.010996420979499804,-0.003630011081695578,-0.007675447567714349,0.00035342325882837427,-0.24559399628463643,100,100,99,86,speaker,2000
integrated_gradients,silence_frac,-0.014626432088866999,-0.010996430376924271,0.0036300017119427277,-0.00036529040144997325,0.007893760362313778,0.24559347702583895,100,100,99,86,speaker,2000
integrated_gradients,gini,-0.04937418758225121,-0.0544318834562256,-0.005057695873974387,-0.01780181993259321,0.007580347164993459,-0.11627310932218782,100,100,99,86,speaker,2000
integrated_gradients,entropy,0.31610475928768766,0.2958733953246561,-0.020231363963031546,-0.1156843820260531,0.07340881782391936,-0.059476325413026915,100,100,99,86,speaker,2000
integrated_gradients,topk_1pct,-0.019856345643827513,-0.005963302596686098,0.013893043047141415,0.0027417430773207284,0.02493565993599292,0.3560968220119513,100,100,99,86,speaker,2000
integrated_gradients,topk_5pct,-0.041755025216198394,-0.03407434752766268,0.007680677688535711,-0.009016191461285315,0.025287856543750785,0.12789647869781606,100,100,99,86,speaker,2000
integrated_gradients,topk_10pct,-0.052269734161992105,-0.05184000095144667,0.00042973321054543684,-0.017692335499452875,0.017695572200131987,0.006957400528160479,100,100,99,86,speaker,2000
occlusion_20ms,low_frac,-0.1479297853109356,-0.4435419071033562,-0.29561212179242063,-0.3355735945194962,-0.2551086874545395,-1.444316436627043,100,100,99,86,speaker,2000
occlusion_20ms,mid_frac,0.10422826371357401,0.2068127890937022,0.1025845253801282,0.07841505719702661,0.12517664819255012,1.0645914028428365,100,100,99,86,speaker,2000
occlusion_20ms,high_frac,0.043701521597361556,0.2367291180096541,0.19302759641229256,0.1710074408207408,0.21413695930257393,1.5839202879891507,100,100,99,86,speaker,2000
occlusion_20ms,speech_frac,0.03616913735866547,0.03826469421386719,0.0020955568552017204,-0.012844529299998825,0.01622711108132728,0.0402806922423127,100,100,99,86,speaker,2000
occlusion_20ms,silence_frac,-0.036169144840096076,-0.03826469128951427,-0.002095546449418194,-0.015562903985664374,0.01238282714692678,-0.040280494891016386,100,100,99,86,speaker,2000
occlusion_20ms,gini,-0.15591096594054113,-0.14983125588815605,0.0060797100523850844,-0.04521408819045765,0.058041598720991724,0.03398432217071367,100,100,99,86,speaker,2000
occlusion_20ms,entropy,0.32598249281749053,0.25949009118844246,-0.06649240162904807,-0.18481476482562254,0.056136441364005,-0.15799548786163914,100,100,99,86,speaker,2000
occlusion_20ms,topk_1pct,0.007929423351715778,-0.005668151751425139,-0.013597575103140917,-0.024703960191432256,-0.0034404464605591904,-0.35396270268713287,100,100,99,86,speaker,2000
occlusion_20ms,topk_5pct,-0.017420539338719603,-0.029905890177831487,-0.012485350839111883,-0.033753869668621095,0.009049622730665449,-0.16440078646433282,100,100,99,86,speaker,2000
occlusion_20ms,topk_10pct,-0.044975288714122735,-0.05188035292424626,-0.006905064210123525,-0.03594976076480455,0.021892263518863437,-0.0650149532044664,100,100,99,86,speaker,2000
occlusion_50ms,low_frac,-0.1574285345880967,-0.4535527034970643,-0.2961241689089676,-0.33635941007588316,-0.256886604313495,-1.4548544982382436,100,100,99,86,speaker,2000
occlusion_50ms,mid_frac,0.10767730604658489,0.21306719815059189,0.105389892104007,0.08173911192083236,0.12613679862488456,1.1161879633903566,100,100,99,86,speaker,2000
occlusion_50ms,high_frac,0.04975122854151181,0.24048550534647237,0.19073427680496055,0.16916722083356173,0.21138608687743726,1.5920553541456814,100,100,99,86,speaker,2000
occlusion_50ms,speech_frac,0.030955955982208256,0.033366420269012445,0.002410464286804189,-0.011518305051271906,0.01546565362419431,0.050510699425359025,100,100,99,86,speaker,2000
