comparison,feature,n_windows,sign_consistent_across_windows,significant_q05_at_all_windows,windows_ms
cross_language_fake,entropy,3,True,True,"[20, 50, 100]"
cross_language_fake,gini,3,True,False,"[20, 50, 100]"
cross_language_fake,high_frac,3,True,True,"[20, 50, 100]"
cross_language_fake,low_frac,3,True,True,"[20, 50, 100]"
cross_language_fake,mid_frac,3,True,True,"[20, 50, 100]"
cross_language_fake,silence_frac,3,True,False,"[20, 50, 100]"
cross_language_fake,speech_frac,3,True,False,"[20, 50, 100]"
cross_language_fake,topk_10pct,3,True,True,"[20, 50, 100]"
cross_language_fake,topk_1pct,3,True,True,"[20, 50, 100]"
cross_language_fake,topk_5pct,3,True,True,"[20, 50, 100]"
cross_language_real,entropy,3,True,True,"[20, 50, 100]"
cross_language_real,gini,3,True,True,"[20, 50, 100]"
cross_language_real,high_frac,3,True,True,"[20, 50, 100]"
cross_language_real,low_frac,3,True,True,"[20, 50, 100]"
cross_language_real,mid_frac,3,True,False,"[20, 50, 100]"
cross_language_real,silence_frac,3,True,True,"[20, 50, 100]"
cross_language_real,speech_frac,3,True,True,"[20, 50, 100]"
cross_language_real,topk_10pct,3,True,True,"[20, 50, 100]"
cross_language_real,topk_1pct,3,True,False,"[20, 50, 100]"
cross_language_real,topk_5pct,3,True,False,"[20, 50, 100]"
english_fake_minus_real,entropy,3,True,True,"[20, 50, 100]"
english_fake_minus_real,gini,3,True,True,"[20, 50, 100]"
english_fake_minus_real,high_frac,3,True,True,"[20, 50, 100]"
english_fake_minus_real,low_frac,3,True,True,"[20, 50, 100]"
english_fake_minus_real,mid_frac,3,True,True,"[20, 50, 100]"
english_fake_minus_real,silence_frac,3,True,True,"[20, 50, 100]"
english_fake_minus_real,speech_frac,3,True,True,"[20, 50, 100]"
english_fake_minus_real,topk_10pct,3,True,False,"[20, 50, 100]"
english_fake_minus_real,topk_1pct,3,True,False,"[20, 50, 100]"
english_fake_minus_real,topk_5pct,3,False,False,"[20, 50, 100]"
hindi_fake_minus_real,entropy,3,True,True,"[20, 50, 100]"
hindi_fake_minus_real,gini,3,True,True,"[20, 50, 100]"
hindi_fake_minus_real,high_frac,3,True,True,"[20, 50, 100]"
hindi_fake_minus_real,low_frac,3,True,True,"[20, 50, 100]"
hindi_fake_minus_real,mid_frac,3,True,True,"[20, 50, 100]"
hindi_fake_minus_real,silence_frac,3,True,True,"[20, 50, 100]"
hindi_fake_minus_real,speech_frac,3,True,True,"[20, 50, 100]"
hindi_fake_minus_real,topk_10pct,3,True,False,"[20, 50, 100]"
hindi_fake_minus_real,topk_1pct,3,True,False,"[20, 50, 100]"
hindi_fake_minus_real,topk_5pct,3,True,False,"[20, 50, 100]"
