group,window_ms,frac_pct,comp_mean,comp_median,comp_frac_positive,suff_mean,suff_median,suff_frac_positive,n
cv_en_real,20,5,4.248444135114551,4.35388708114624,0.99,-2.2976801881194113,-1.8756603002548218,0.0,100
cv_en_real,20,10,5.342035724781454,5.347975850105286,0.99,-4.273243962526322,-4.203908205032349,0.01,100
cv_en_real,20,20,6.716792106814682,6.723384857177734,0.99,-4.4823993195593355,-5.032273054122925,0.03,100
cv_en_fake,20,5,1.8145415598154069,1.9605252742767334,0.77,-1.1546673882007599,-1.360365092754364,0.2,100
cv_en_fake,20,10,2.120857286565006,2.140720844268799,0.83,-3.249719390273094,-3.931896448135376,0.08,100
cv_en_fake,20,20,2.264018999636173,2.2141545843333006,0.86,-4.0638641891255975,-4.746189832687378,0.03,100
cv_hi_real,20,5,3.9313271998614074,4.050091743469238,0.96,-2.1632199615240095,-1.9275026321411133,0.02,100
cv_hi_real,20,10,5.125172799192369,5.4135255217552185,0.97,-4.572156985998154,-4.501389503479004,0.0,100
cv_hi_real,20,20,6.483002157136798,6.731906056404114,0.99,-4.81586153909564,-5.897296905517578,0.0,100
cv_hi_fake,20,5,2.2215511694923045,2.0540894269943237,0.86,0.5373728619515896,-0.4519573599100113,0.39,100
cv_hi_fake,20,10,2.855498475432396,2.6460108757019043,0.95,-1.4366323693469167,-1.1404690146446228,0.19,100
cv_hi_fake,20,20,3.339872993156314,2.898959696292877,1.0,-2.1449016393348574,-2.14597225189209,0.14,100
asvspoof_a11,20,5,1.1586555019952356,0.9445641040802002,0.63,-3.1962845128029587,-3.1867637634277344,0.01,200
asvspoof_a11,20,10,2.443825318478048,1.483731985092163,0.765,-4.1659544178843495,-5.664158821105957,0.01,200
asvspoof_a11,20,20,3.447980846054852,1.6196739673614502,0.96,-3.342374441996217,-5.875028133392334,0.14,200
cv_en_real,50,5,4.146702475771308,4.274374263361096,0.99,-1.9411146618425845,-1.4974538683891296,0.01,100
cv_en_real,50,10,5.240960098132491,5.218597859144211,1.0,-3.1113341915607453,-3.494062900543213,0.01,100
cv_en_real,50,20,6.196578968651592,6.492174327373505,0.99,-3.051799556352198,-3.3251023292541504,0.05,100
cv_en_fake,50,5,1.8876844522729517,1.8591232299804688,0.78,-0.6219701670482755,-1.2031771540641785,0.24,100
cv_en_fake,50,10,2.1759226951375603,2.2099064588546753,0.85,-2.96333301410079,-3.1163930892944336,0.08,100
cv_en_fake,50,20,2.39477707862854,2.4094015061855316,0.89,-3.7197162556648253,-4.0592005252838135,0.03,100
cv_hi_real,50,5,3.680610562674701,3.9189472794532776,0.97,-1.9864083957672118,-1.5386518836021423,0.03,100
cv_hi_real,50,10,4.846673625148833,5.022747099399567,0.99,-3.138449619114399,-3.36784565448761,0.02,100
cv_hi_real,50,20,5.910309808179736,6.128278076648712,0.99,-2.9952184531092643,-3.2064422369003296,0.04,100
cv_hi_fake,50,5,2.4813505655899646,2.1104719638824463,0.93,1.2360592835769058,0.24076812714338303,0.53,100
cv_hi_fake,50,10,3.1343228686600924,2.676010847091675,0.93,-1.1522465251758696,-1.1993942260742188,0.29,100
cv_hi_fake,50,20,3.6049476554617286,3.334417687729001,0.95,-2.2332450417801737,-2.3953897953033447,0.16,100
asvspoof_a11,50,5,1.156881318539381,0.9240868091583252,0.8,-2.010538239236921,-1.6197933554649353,0.04,200
asvspoof_a11,50,10,2.2188392564468087,1.471327781677246,0.865,-3.1951627156324687,-3.3829140663146973,0.06,200
asvspoof_a11,50,20,3.138528387397528,1.7813048362731934,0.975,-2.4567809651233254,-3.9470781087875366,0.265,200
cv_en_real,100,5,3.522132158912718,3.6146647334098816,0.99,-1.1236815372109412,-1.2961674332618713,0.13,100
cv_en_real,100,10,4.678803567029536,4.711880594491959,1.0,-1.7081979187205434,-1.4538450241088867,0.08,100
cv_en_real,100,20,5.618506770320237,5.728432774543762,0.99,-1.7259159283712506,-1.304500162601471,0.13,100
cv_en_fake,100,5,1.4757849796116351,1.3690626919269562,0.82,-0.10167922724038363,-1.0471521019935608,0.32,100
cv_en_fake,100,10,1.7944739656150341,1.8298566341400146,0.84,-2.1246954725682734,-1.6624255776405334,0.12,100
cv_en_fake,100,20,2.1362915709614754,2.146233081817627,0.87,-2.918236377686262,-3.2271628379821777,0.05,100
cv_hi_real,100,5,3.0943968854099513,3.1452856361865997,0.97,-1.098269339762628,-1.1016762256622314,0.14,100
cv_hi_real,100,10,4.234520452730358,4.354569345712662,0.99,-1.919611941576004,-1.3062926530838013,0.09,100
cv_hi_real,100,20,5.397135165259242,5.681794628500938,0.99,-1.9316550317034125,-1.3523960709571838,0.11,100
cv_hi_fake,100,5,1.8361179674044252,1.6476664543151855,0.92,2.2121998431533574,3.2458879947662354,0.64,100
cv_hi_fake,100,10,2.3654721139743926,2.2239545583724976,0.93,0.08346621267497539,-0.6693236231803894,0.43,100
cv_hi_fake,100,20,3.1831874135509133,3.043489158153534,0.96,-1.475369217991829,-1.1755422949790955,0.23,100
asvspoof_a11,100,5,0.8015177464485168,0.7079217433929443,0.875,-0.793603468798101,-1.026606559753418,0.215,200
asvspoof_a11,100,10,1.5416962347365917,1.164193868637085,0.95,-1.435278587397188,-1.245760440826416,0.275,200
asvspoof_a11,100,20,2.5634378133155407,1.5993385314941406,0.98,-1.3511249419674278,-1.072638213634491,0.385,200
