group,window_ms,feature,n_samples,n_clusters,mean,median,ci_lo,ci_hi
cv_en_real,50,low_frac,100,99,0.7960443944625173,0.8122990030403094,0.7762252334989599,0.816145550976839
cv_en_real,50,mid_frac,100,99,0.1407835910559957,0.1196486818280464,0.1245352024126756,0.15790807497058343
cv_en_real,50,high_frac,100,99,0.06317201448148708,0.058629001023278296,0.05484882667402536,0.07244074175685099
cv_en_real,50,speech_frac,100,99,0.9688487696647644,0.9829921722412109,0.9605072950535917,0.9769450438755869
cv_en_real,50,silence_frac,100,99,0.03115123171435698,0.017007838934659958,0.02351745499216104,0.039920069707235425
cv_en_real,50,gini,100,99,0.42311182785896745,0.4004569506160566,0.3951963148902809,0.45181187208800605
cv_en_real,50,entropy,100,99,15.427019050186413,15.54465712309192,15.348495699432886,15.499871184973836
cv_en_real,50,topk_1pct,100,99,0.02854157821489369,0.025207681407850086,0.02660437226009221,0.03070637520343967
cv_en_real,50,topk_5pct,100,99,0.12909513784785287,0.11539851080521979,0.12063868367024418,0.138278377787027
cv_en_real,50,topk_10pct,100,99,0.2398143080975945,0.21675811805666872,0.22474126119354493,0.2572585353801299
cv_en_fake,50,low_frac,100,99,0.6386158598744206,0.6363671525333136,0.6207034992561503,0.6552322922321909
cv_en_fake,50,mid_frac,100,99,0.2484608971025805,0.23758320438490077,0.23393743602167108,0.2625463440338018
cv_en_fake,50,high_frac,100,99,0.11292324302299889,0.11365670839986676,0.10591431463227424,0.1202034438125292
cv_en_fake,50,speech_frac,100,99,0.9998047256469726,1.0,0.9994331249082932,1.0
cv_en_fake,50,silence_frac,100,99,0.0001952740177512169,0.0,0.0,0.0005668747342295117
cv_en_fake,50,gini,100,99,0.2937437664480151,0.2928854354825259,0.27299008429852073,0.3158434402403867
cv_en_fake,50,entropy,100,99,15.724000842043916,15.769458821748426,15.68177351743746,15.76476702470968
cv_en_fake,50,topk_1pct,100,99,0.035476569912088605,0.026805730920155986,0.03022394927540118,0.04205027638030104
cv_en_fake,50,topk_5pct,100,99,0.12912049958420183,0.11503222873946818,0.11805146003197851,0.14110628658375923
cv_en_fake,50,topk_10pct,100,99,0.2212665061678232,0.20274139834245775,0.207018586749388,0.23645869727484015
cv_hi_real,50,low_frac,100,86,0.8443643268404786,0.8521302902745422,0.8296396485080807,0.8596882931995082
cv_hi_real,50,mid_frac,100,86,0.11628186651440794,0.11273176277629887,0.10576930987764244,0.127720869731399
cv_hi_real,50,high_frac,100,86,0.03935380664511325,0.028696818969255005,0.030054177731886324,0.05125783085006278
cv_hi_real,50,speech_frac,100,86,0.9532987999916077,0.974105715751648,0.9390780758351511,0.965205701866191
cv_hi_real,50,silence_frac,100,86,0.04670120379465516,0.025894208811223507,0.03456192789601275,0.06115849328902132
cv_hi_real,50,gini,100,86,0.3717703273959836,0.35192054563972885,0.3466688402612803,0.39684800116743024
cv_hi_real,50,entropy,100,86,15.555736990288533,15.614403436375706,15.492816077244434,15.612347154831236
cv_hi_real,50,topk_1pct,100,86,0.027118756654882628,0.024036158354180173,0.024733355220163847,0.030136861317311643
cv_hi_real,50,topk_5pct,100,86,0.11886498689241104,0.10993270596792062,0.11148773283918108,0.12821357774116995
cv_hi_real,50,topk_10pct,100,86,0.21813870391116214,0.20353135711203652,0.2064181086795355,0.23138977533930674
cv_hi_fake,50,low_frac,100,86,0.3908116233434146,0.3555465423464108,0.354466480458916,0.42731967130897636
cv_hi_fake,50,mid_frac,100,86,0.3293490646649998,0.35116412022045085,0.3123376864578012,0.34518617444986627
cv_hi_fake,50,high_frac,100,86,0.27983931199158557,0.29615132895739316,0.25764177197817045,0.2993927243752068
cv_hi_fake,50,speech_frac,100,86,0.9866652202606201,1.0,0.9744887419142364,0.9957446057344277
cv_hi_fake,50,silence_frac,100,86,0.013334780782461166,0.0,0.0043804900196950354,0.025697857029712282
cv_hi_fake,50,gini,100,86,0.2571191576537046,0.26054114674029927,0.2328708745225357,0.2827787849836893
cv_hi_fake,50,entropy,100,86,15.784877077284845,15.804277966587495,15.752452414611192,15.81674418734898
cv_hi_fake,50,topk_1pct,100,86,0.024163659999529043,0.0225828670779966,0.02187376488394061,0.026604043118803683
cv_hi_fake,50,topk_5pct,100,86,0.10500739829993117,0.10245421127821516,0.09672896516499233,0.11340718727963331
cv_hi_fake,50,topk_10pct,100,86,0.1909836483402715,0.18255815364431813,0.17800259602744034,0.20347361472900524
asvspoof_a11,50,low_frac,200,2,0.8114167905289821,0.812790116080464,0.8101237923337554,0.8127097887242087
asvspoof_a11,50,mid_frac,200,2,0.12682038697618261,0.12118947497602572,0.11910281767837638,0.13453795627398882
asvspoof_a11,50,high_frac,200,2,0.06176282249483529,0.05627332094857346,0.05533825139225573,0.06818739359741487
asvspoof_a11,50,speech_frac,200,2,0.9233290126919746,0.9572890102863312,0.856843095421791,0.9898149299621583
asvspoof_a11,50,silence_frac,200,2,0.0766709779960911,0.04271097667515278,0.010185056766749767,0.14315689922543243
asvspoof_a11,50,gini,200,2,0.39974006551489366,0.3966982353052856,0.33564738794953414,0.46383274308025313
asvspoof_a11,50,entropy,200,2,15.529442839175209,15.574983905004078,15.40000693454314,15.658878743807277
asvspoof_a11,50,topk_1pct,200,2,0.03610507827357643,0.030471032661084543,0.031812534711899945,0.040397621835252924
asvspoof_a11,50,topk_5pct,200,2,0.1462317235941227,0.133524323084183,0.14356731641378442,0.148896130774461
asvspoof_a11,50,topk_10pct,200,2,0.2551147549934226,0.2397924675643803,0.24564463223141608,0.2645848777554292
