language,feature,rho,p_bootstrap,ci_lo,ci_hi,n_samples,n_clusters,n_bootstrap,bootstrap_unit,seed
english,low_frac,-0.20475603161167877,0.3495,-0.6409212417818525,0.18804206918940927,100,99,2000,speaker,16235
english,mid_frac,0.1452837070886685,0.463,-0.2067513544914957,0.5382202211788639,100,99,2000,speaker,16236
english,high_frac,0.20234289921347384,0.355,-0.22063922181322135,0.6298015376354669,100,99,2000,speaker,16237
english,gini,0.07663791539127107,0.7325,-0.33330067034248007,0.485366395130005,100,99,2000,speaker,16238
english,entropy,-0.09750565154871296,0.6145,-0.4665173266930305,0.2783011957285625,100,99,2000,speaker,16239
english,topk_1pct,0.04307865212684807,0.8265,-0.2774482005953069,0.4373150080942226,100,99,2000,speaker,16240
english,topk_5pct,0.11345854342242934,0.5615,-0.25878600605734026,0.49320377479698513,100,99,2000,speaker,16241
english,topk_10pct,0.12235864572555731,0.528,-0.25902306734598973,0.513392490891441,100,99,2000,speaker,16242
english,rms,-0.674682453406627,0.0004997501249375312,-0.7443195468723725,-0.59799475404858,1125,974,2000,speaker,16243
english,peak,-0.5994170376066187,0.0004997501249375312,-0.671622030281897,-0.5208386922329461,1125,974,2000,speaker,16244
english,duration_s,-0.19686761294098135,0.0004997501249375312,-0.2964916316454893,-0.09008271791112529,1125,974,2000,speaker,16245
hindi,low_frac,-0.0755855142680243,0.615,-0.4017023975726488,0.17380003406773642,100,86,2000,speaker,16246
hindi,mid_frac,-0.06527174865235676,0.677,-0.3526696225938575,0.2897117722461876,100,86,2000,speaker,16247
hindi,high_frac,0.09544780944864424,0.5095,-0.15875001177724768,0.4134648046434526,100,86,2000,speaker,16248
hindi,gini,0.3163695456676196,0.0615,-0.04154577760843059,0.6108928257942184,100,86,2000,speaker,16249
hindi,entropy,-0.24817699293623138,0.1835,-0.596389625622218,0.1418591364364988,100,86,2000,speaker,16250
hindi,topk_1pct,0.06910537139740049,0.7275,-0.31262416488219014,0.46569371103309254,100,86,2000,speaker,16251
hindi,topk_5pct,0.19262607509906943,0.348,-0.1844054009448914,0.5750980670453107,100,86,2000,speaker,16252
hindi,topk_10pct,0.24824362116243853,0.17,-0.11965520479816483,0.5987787720331356,100,86,2000,speaker,16253
hindi,rms,-0.1716224429775752,0.01,-0.3015150153752328,-0.040794466370508056,1125,338,2000,speaker,16254
hindi,peak,-0.17126763298022568,0.009,-0.3030128917852515,-0.04980167132737331,1125,338,2000,speaker,16255
hindi,duration_s,-0.000623493570590858,0.994,-0.11623967905340103,0.10752746616632063,1125,338,2000,speaker,16256
