language,pair_id,analysis_cluster,label,path,leading_silence_ms,trailing_silence_ms,trimmed_duration_s,bonafide_logit_trimmed
english,0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,1,english_griffinlim_eval_final/real_english/english_real_0000.wav,32.0,552.0,6.976,1.2254170179367065
english,0,45bac0b1844eda8f7fdb915e9070089e152b437f33a9f0ae3800195ce24350d2887f757aa200129cac918867663d1cd989546dc73bee55ecef04637f973c9951,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0000.wav,0.0,0.0,7.56,-5.911060333251953
english,1,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,1,english_griffinlim_eval_final/real_english/english_real_0001.wav,512.0,296.0,3.872,-0.6164853572845459
english,1,a79053332666959d49c7f1ebb837a28ed8ba392c55c55ae9ff8e23ed1f9174612470eba3342acc09f9aabba6ce43eedeceb4a6d08a636b7da04abe058d03af3f,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0001.wav,0.0,0.0,4.68,-6.026714324951172
english,2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,1,english_griffinlim_eval_final/real_english/english_real_0002.wav,32.0,0.0,7.264,-2.395015239715576
english,2,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0002.wav,0.0,0.0,7.296,-6.020063400268555
english,3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,1,english_griffinlim_eval_final/real_english/english_real_0003.wav,0.0,352.0,6.176,3.4983761310577393
english,3,7133f45eca7e693b9d34f6ec989603887be32bbe9f50bdfa1f5d30438869d07ccb08c12e55338c9448903723ae3becc5e8b6326c00b90d727cbe7142f826e180,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0003.wav,0.0,0.0,6.528,-1.9235886335372925
english,4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,1,english_griffinlim_eval_final/real_english/english_real_0004.wav,32.0,172.0,4.512,0.5025113224983215
english,4,610f1e0425c07be38daa13dd69efca6c452b8a3aa61ddb294cd15fc382457bb6b1068ee70964140c24cd4792569f510951b730733425773dfb1177419659f990,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0004.wav,0.0,0.0,4.716,-6.029760360717773
english,5,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,1,english_griffinlim_eval_final/real_english/english_real_0005.wav,0.0,0.0,2.808,-4.852222442626953
english,5,8e3c3472fcd01198c79948ec91b37ad9bfbfafde08e87dc56eaf70a15188ab263aa3a85f01ad2dfdf623e1d4053bc56fbb5e0ad820a8b77444d6c3dc1d24e7fb,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0005.wav,0.0,0.0,2.808,-5.639717102050781
english,6,ea39e5b1167b73b71b84a9fc11f61de538300ac3202879293f05a1967f57e9039faeb00684199a7b7a0f5f52255eb5afea7f847cdf3310cff4db57cbc82194cc,1,english_griffinlim_eval_final/real_english/english_real_0006.wav,96.0,444.0,6.912,-4.7170586585998535
