language,pair_id,analysis_cluster,label,path,leading_silence_ms,trailing_silence_ms,trimmed_duration_s,bonafide_logit_trimmed
hindi,0,2f0f109ed0afdb1a06c0ad751e352d0e0dc41767609a511c4b9111a62769bc467468b5f4d3cf2c618cc479ca33b2a7b3412b01d883cfcb15d8cb23222912fd16,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0000.wav,0.0,0.0,4.5,-1.3069411516189575
hindi,0,2f0f109ed0afdb1a06c0ad751e352d0e0dc41767609a511c4b9111a62769bc467468b5f4d3cf2c618cc479ca33b2a7b3412b01d883cfcb15d8cb23222912fd16,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0000.wav,0.0,0.0,4.5,-2.8055248260498047
hindi,1,17e10c81b592f9aa499bd3ea283821d28dee580e2bfbf51ca891c71024bf0736cc26c5ef9790ef591ff7cf3136930b935c33bc7fb1c65c080ff270baf27c8fe5,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0001.wav,32.0,336.0,4.096,-1.6346479654312134
hindi,1,17e10c81b592f9aa499bd3ea283821d28dee580e2bfbf51ca891c71024bf0736cc26c5ef9790ef591ff7cf3136930b935c33bc7fb1c65c080ff270baf27c8fe5,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0001.wav,32.0,336.0,4.096,-4.257117748260498
hindi,2,bd008914e8d61f280ef49d1b81b9ba5feafa0195842fb73953d414962085d13881380f143efa9cc3014fb5083f2ca49ec0ac216b23e48f676493303b320d17d3,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0002.wav,992.0,1280.0,4.352,-2.4455597400665283
hindi,2,bd008914e8d61f280ef49d1b81b9ba5feafa0195842fb73953d414962085d13881380f143efa9cc3014fb5083f2ca49ec0ac216b23e48f676493303b320d17d3,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0002.wav,0.0,0.0,6.624,-0.47381532192230225
hindi,3,76ae0779e8b42a6cebddc96f1c8be8cd17dc128ea3dc6c77c1afef491eb3334aec08ac644ce6b553783bec6530bcd7a8d7869d249d8fc4cbf394c176c2a03fe0,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0003.wav,1024.0,708.0,1.472,-3.644174814224243
hindi,3,76ae0779e8b42a6cebddc96f1c8be8cd17dc128ea3dc6c77c1afef491eb3334aec08ac644ce6b553783bec6530bcd7a8d7869d249d8fc4cbf394c176c2a03fe0,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0003.wav,0.0,0.0,3.204,5.6803388595581055
hindi,4,ef72dad515c406393c07ffac9b57e6cd1e83073c82a001d49ea19a30fd9976d0d50d4c5cffcfdbec8ea222c152695775d85c227194f2e56516531e1c8e76ff70,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0004.wav,640.0,1224.0,2.528,-4.92773962020874
hindi,4,ef72dad515c406393c07ffac9b57e6cd1e83073c82a001d49ea19a30fd9976d0d50d4c5cffcfdbec8ea222c152695775d85c227194f2e56516531e1c8e76ff70,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0004.wav,0.0,0.0,4.392,-4.321958065032959
hindi,5,f1b62e5d3473776b945ef79fbad0a46a621fb136b143d7aeb75a7cb854ebe0807524eee04fe8d83b3311152dad97e341e18ed5b8981b3cf322fec4e0700894bb,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0005.wav,96.0,0.0,4.608,4.9349493980407715
hindi,5,f1b62e5d3473776b945ef79fbad0a46a621fb136b143d7aeb75a7cb854ebe0807524eee04fe8d83b3311152dad97e341e18ed5b8981b3cf322fec4e0700894bb,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0005.wav,96.0,0.0,4.608,4.413450241088867
hindi,6,c8eabd52eef7e16e14998264ec78831ec7b891135ad93c446e459d4643b02c721b412f4fc828522a478fdbd2d5f4ca9838991a89368c78cb7f0617b3837a00ca,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0006.wav,32.0,0.0,3.748,-3.2301950454711914
