language,speaker,n_real,n_fake,real_mean_logit,fake_mean_logit,separation_real_minus_fake
english,0014a05b7983f18441b13ce4e4949b6d5d93ffabc11009b3808e9823f0e0ac52d1616f1d029a69581bb57dc83084d9f0edd9761948b4648ecf67d0647bda11e8,1,1,5.561705112457275,-2.2854371070861816,7.847142219543457
english,00309ae51fe07824676d5a3b39837b0a8927c064b7a054f3083f6f9cf7741987f8c92cb60c4c93e86a4e1be11dad46b92285584802bbe6a0fd618ca0f44b2959,1,1,3.984852313995361,-6.104450702667236,10.089303016662598
english,00d4ca0109ca85ac39bba85d3cb32ce4912837c7e6b901722a8339a5327b0f32c6c68beb8ecdf7e8ec5face851cfe65796b9849d55e0bcd4e41cc397f8e5b133,1,1,0.450130820274353,-1.4504765272140503,1.9006073474884033
english,01c3eaf58721d6914387b475e306775e0857187d3c9f782741fc8742b7c07dad1cfeaa5d7d2bc0c9222ab67a7feef6d0e23701e4f89b86140a657f380eff26f4,1,1,1.3774292469024658,-5.262709140777588,6.640138387680054
english,01d41e22f6db7c81a5acfebc1216379016739c7204e0b95306dbf23fad9244781d6fe76084f3e172d3873199d800522fcebcb16dd83b442884fd6382714072a3,1,1,4.211439609527588,-1.4128735065460205,5.624313116073608
english,02718e6068e2d4292ebb32deaefc1cb424d3bf323c8fbd29225d1265b58089ef26ad1e5295382ecd05c48a150ff399f46d10059e2491b98ceb5b08c498afb1eb,1,1,5.065242290496826,-0.6692512035369873,5.7344934940338135
english,0287247ffe715e77eaf6d4470f6e91e8b3df507c28d888e5bb1c2eb1deb4cc10fa8c06753ff2a257183c21832815fa2d876567bd091ade8853ebdf5a5a383863,1,1,5.579489707946777,-1.3846131563186646,6.964102864265442
english,028ab76c21b95feb9d1c45d6e15601663af90da27fae2173cc795b0509b393432e7b22dec98cb7986134e44b046930c53a6b0906e44a12694c6874af3c7e16b1,1,1,1.114218831062317,-4.458049297332764,5.572268128395081
english,02d76c5b5ba4203f9fd78b84f45777c359bba6e2604ef385611916282e8e571b4bf255902c0acaf881f169f3419f1d2530a03d3cc59665d1025611bc66afd8fc,1,1,-3.554187297821045,-1.5826791524887085,-1.9715081453323364
english,03de560328d44ed017ad5df9acda93dff48ac6a415326694f235220dd5248dd2e49e0723a282b65a750ae5adfd04727091ce4250e16c8a71f87928c1bb248b62,1,1,6.275814533233643,4.521932125091553,1.7538824081420898
english,03ed98d44db4fb01939c421a0217d2b579c46740be8eb3c869b715b383b1194fbcec12edc6a838edbf536af068ea2d9b18f04e2aed881e478f8b7dbcb75d0fb5,1,1,4.824794292449951,-1.884332776069641,6.709127068519592
english,041ed5fcab5c90c4c0fc444f02da9438d66262b2cae49bf7894ec9f095d0601c3297cbcfa3e069927ab54cf2b233f72ab230358cd24133277ddf9f9f8149b224,1,1,4.847505569458008,-1.3550794124603271,6.202584981918335
english,04960d53cc851eeb6d93f21a09e09ab36fe16943acb226ced1211d7250ab2f1b9a1d655c1cc03d50006e396010851ad52d4c53f49dd77b080b01c4230704c68d,1,1,3.296245574951172,0.7471630573272705,2.5490825176239014
english,0499323117b11e14d7bfbc635d664ef7e2429151a061997d97bae96caf291ab6002e65f13948fe755b776bfa001941307a48729552352003dd3f76a6cc398d1a,1,1,0.6689127683639526,-6.038802146911621,6.707714915275574
english,04a248bc0cc9b8d91ed448e89914226cdc02d79ad7d6e16b1f465a314c309237bd129173d14caf301a038141a7e3e1be76c61c098ad7ed2d91a3cdaf3dd4b7a7,1,1,5.456528663635254,2.949720859527588,2.506807804107666
english,052e4952bf4ab01e82f051346a73726e616a5aa4bcfc0d6c0cc86de1028de03e93cfb7ec3d4ef7fffd4b81448991c5f583c1a75774f0405922a6eaa4c8e7554b,1,1,5.121303558349609,-0.7598758935928345,5.881179451942444
english,0556918792c0a32f83c9d55abc07c607aa28d5e811ac231b6d57c67aab4dc15f6352290903cc79962a3b210b6538b5c13231ab4e94722205da80e4ed57558be0,1,1,-0.8172847032546997,-5.9504828453063965,5.133198142051697
english,05c2823695fcf6a61cfee3126b93d7211e4389c008694f2db5278f438c475119a3fdcfb48deb73ab433137dea310157a0143ca155b95ba0700ed4751f76f605f,1,1,-1.665388822555542,-6.019196510314941,4.353807687759399
english,064a2016c00e4edd9c4434e457a6beb17410df70500dd1d11c52fccd6ac7c5a7443504e27dc2dcc5e92ccc939c3bf8ea12de379c90c3f8ac250296e84f5d2fb9,1,1,4.199472904205322,-4.630359172821045,8.829832077026367
english,0661cd3edebf30a1d25a2a4591e1471884e5295ddc9442c6347e8500f8e35cd432026595557179859168017a0fa143943851c63d3623e57bf4e28d232ad845e2,1,1,-3.616694688796997,-6.058432102203369,2.441737413406372
english,067fc5b331cf8a653de2299f580542723f467cbac5aea1b5d1852c913b7e5a6d0b7cfc01536a90198b9a00256229fe85f4189cdfc6c8b120f29822dfb8487ec9,1,1,2.6172099113464355,-2.149625778198242,4.766835689544678
english,068d2e0f81d4dd78bb9ce831cdefd14260f76428bf86b5c93d1c31fefafaeae08d9669c70c2118ae9febea3b523ce00deec29c1654dda41bdf44e1d55d1a5127,1,1,6.081998825073242,-0.6581628322601318,6.740161657333374
english,06c53aec09bca54d5587147ee1bfcc0a9e2b4162fb75daa79b7fe286dfec0732ff4dcae7125393b19a31f66c66c4bd8cf89665b4dee7b446429efd029e225c59,1,1,5.783877372741699,-3.711727142333984,9.495604515075684
english,06eb40ac579f42807bcff6b5422646c4851d2425c4e2023feef5543bd6ea1c89089a78a04c49a14dd56a9905f2a7674e34affb7b662153c58a068794a14b9262,1,1,0.0077110826969146,-4.271562099456787,4.279273182153702
english,07d3d922297a7ff95c0af1273ea9511f05d9e73ad7eccbbc41f21be8c897b482c9e212941a01874135df63f60c8d07ca57e9fa3b9716f06c3c58a01bda4c4eee,1,1,5.551790237426758,0.1792960613965988,5.372494176030159
english,0836f0e74bc679636d4af10bddb747580e93145ef1b540a10021633965e5ed659ace0a7aa85de967a03a3fb1e4ec8e43a3441c7504bf7589e6f106c8b2c0a091,1,1,-1.3112927675247192,-5.939811706542969,4.6285189390182495
