english_row,hindi_row,distance,english_pair_id,hindi_pair_id
2,1088,1.2723298102069958,2,1088
3,158,1.1364012386707867,3,158
5,507,0.7580219426257133,5,507
6,985,1.4981953270359039,6,985
11,1114,1.0394325527176789,11,1114
13,987,1.433175405576797,13,987
15,297,1.1006713832760229,15,297
17,1035,0.608725840749855,17,1035
20,251,0.2745897539296352,20,251
23,236,1.335609085223187,23,236
24,932,1.4759997872574262,24,932
26,110,1.1965310292699753,26,110
27,63,1.4890360708697994,27,63
29,107,1.455473549948928,29,107
30,210,1.471795408066085,30,210
31,343,0.2789331898834464,31,343
33,329,0.6751960434723857,33,329
34,1048,1.3063173420281178,34,1048
36,1067,0.7787754813774981,36,1067
38,905,0.9806213990699016,38,905
44,229,0.7355278112808249,44,229
52,950,1.4734904265741715,52,950
53,886,1.3302242888796654,53,886
57,462,1.1562205377521908,57,462
59,948,1.4617414145197842,59,948
60,1081,0.855061201633974,60,1081
61,1059,0.9679308089146466,61,1059
63,1096,1.0334883964174326,63,1096
64,176,1.4897154126357004,64,176
69,252,1.4989512326409036,69,252
71,408,1.4266742485669264,71,408
79,1097,1.3440144965214789,79,1097
80,626,0.8449724317931441,80,626
81,31,1.267515644243889,81,31
82,308,1.3792879279226533,82,308
85,845,0.869287667987086,85,845
86,622,0.6156529932901229,86,622
87,453,1.3137104994110784,87,453
90,1115,1.1458713873881292,90,1115
96,15,1.460819483967221,96,15
99,1094,0.8760478528619573,99,1094
102,1076,0.9635047788386946,102,1076
104,1062,1.0052178412821489,104,1062
105,806,1.4810332219315403,105,806
108,687,0.9282210607263827,108,687
109,1113,0.809061704753605,109,1113
111,981,1.4787482617941745,111,981
112,1041,0.9120456312417088,112,1041
113,32,0.6779795904354806,113,32
114,1031,1.0711794495164435,114,1031
115,202,1.161406571284096,115,202
116,84,1.3738450474690769,116,84
118,153,1.3683010864832845,118,153
119,784,1.4582768768873726,119,784
122,501,1.4661593914343747,122,501
123,1,0.7036818586280608,123,1
124,557,0.46214894265877826,124,557
133,1119,1.0048472529030392,133,1119
135,1082,0.7677686496146177,135,1082
139,431,1.254081642658829,139,431
141,1116,0.5415664603138072,141,1116
144,679,1.4528554059651362,144,679
145,1044,0.37952056805023426,145,1044
150,922,0.9617857763091373,150,922
151,540,0.9241716095332403,151,540
152,392,1.4733547960848654,152,392
158,358,1.2586555281283152,158,358
160,1036,0.9005933680301011,160,1036
165,385,1.493713844531497,165,385
168,804,1.4820343654228882,168,804
170,727,1.32228203284473,170,727
172,267,1.0994626923610666,172,267
174,787,1.480639220452361,174,787
177,256,0.25958222512786194,177,256
183,801,1.2529072786435567,183,801
184,702,1.4902437853363748,184,702
191,395,1.4815276666422967,191,395
193,867,1.1976449654207382,193,867
194,1080,1.204663263607863,194,1080
195,1061,0.9865584203351203,195,1061
197,802,1.4055928276465472,197,802
203,24,1.140418212992456,203,24
205,232,0.885336315886222,205,232
207,952,1.1038878789219893,207,952
208,338,1.486518866634155,208,338
212,323,1.3113924278623093,212,323
213,139,1.1883184221593972,213,139
214,547,1.4366276848693151,214,547
217,1052,0.912553869099049,217,1052
219,346,1.4975715176352637,219,346
226,1118,0.8348149610206974,226,1118
230,459,1.482837460957622,230,459
233,90,1.1913357853636135,233,90
235,61,0.6134836416618139,235,61
237,108,0.5577145528698136,237,108
238,639,1.4105348359542762,238,639
239,710,1.0577358578150036,239,710
