group,band,quantity,mean,ci_lo,ci_hi,n_clusters,n_samples,bootstrap_unit
english_real,low,energy_frac,0.8570293282467939,0.8297412172269514,0.8838975680096991,99,100,speaker
english_real,low,proxy_frac,0.8548659311548948,0.8340077362719589,0.8741796275182132,99,100,speaker
english_real,low,excess_frac,-0.0021633970918990826,-0.014194178462126773,0.011387798391842258,99,100,speaker
english_real,mid,energy_frac,0.11905382801963121,0.09444912702894731,0.1458221640447339,99,100,speaker
english_real,mid,proxy_frac,0.11499256224891827,0.0973239203817719,0.133037881684134,99,100,speaker
english_real,mid,excess_frac,-0.004061265770712936,-0.016407733683784214,0.006431068965293129,99,100,speaker
english_real,high,energy_frac,0.023916822824833487,0.01471342279644806,0.03677691117043001,99,100,speaker
english_real,high,proxy_frac,0.030141506596187036,0.024870657117383472,0.035639261619224025,99,100,speaker
english_real,high,excess_frac,0.006224683771353553,-0.0018058549584922192,0.01252400301301126,99,100,speaker
english_fake,low,energy_frac,0.786590428987925,0.7526327959498565,0.8161366877449927,99,100,speaker
english_fake,low,proxy_frac,0.734781301116983,0.7111382130254852,0.7572144680707823,99,100,speaker
english_fake,low,excess_frac,-0.0518091278709417,-0.06534491311141638,-0.03831267920480552,99,100,speaker
english_fake,mid,energy_frac,0.16680434350108958,0.1413475448328947,0.19549343274566813,99,100,speaker
english_fake,mid,proxy_frac,0.19820357358287505,0.178590846145682,0.21779192869347358,99,100,speaker
english_fake,mid,excess_frac,0.03139923008178549,0.01918825516584019,0.04287077498884787,99,100,speaker
english_fake,high,energy_frac,0.04317954517381344,0.03253391258800557,0.056355724664974606,99,100,speaker
english_fake,high,proxy_frac,0.06701512530014185,0.06056329017087762,0.0742294142862472,99,100,speaker
english_fake,high,excess_frac,0.023835580126328405,0.014504322503607031,0.03141739679086448,99,100,speaker
hindi_real,low,energy_frac,0.9010151295085653,0.8861281806513269,0.9159366736995919,86,100,speaker
hindi_real,low,proxy_frac,0.896053740368036,0.8830915984643184,0.9077334967297085,86,100,speaker
hindi_real,low,excess_frac,-0.004961389140529258,-0.011693773127519255,0.0018215669536418445,86,100,speaker
hindi_real,mid,energy_frac,0.08854203213634776,0.07515143468187423,0.10126657727591239,86,100,speaker
hindi_real,mid,proxy_frac,0.08741089635063513,0.07686237917995112,0.09770724122573139,86,100,speaker
hindi_real,mid,excess_frac,-0.0011311357857126184,-0.007600134430966541,0.005303688862996283,86,100,speaker
hindi_real,high,energy_frac,0.010442830826608686,0.0060181238727049,0.015622575636862005,86,100,speaker
hindi_real,high,proxy_frac,0.016535363281328846,0.011969353733826538,0.02259804574361537,86,100,speaker
hindi_real,high,excess_frac,0.006092532454720159,0.003708081767337317,0.008263794528829202,86,100,speaker
hindi_fake,low,energy_frac,0.49148747743356525,0.4502637760165308,0.5353859029068858,86,100,speaker
hindi_fake,low,proxy_frac,0.4458029297515431,0.41014200077979907,0.48525444172431387,86,100,speaker
hindi_fake,low,excess_frac,-0.04568454768202208,-0.060004145387291194,-0.03263770047548122,86,100,speaker
hindi_fake,mid,energy_frac,0.28584831024905905,0.26629180281770115,0.3058762269859551,86,100,speaker
hindi_fake,mid,proxy_frac,0.3081155519071926,0.2896360804126679,0.32539615590532217,86,100,speaker
hindi_fake,mid,excess_frac,0.02226724165813349,0.015699719578863024,0.02922397941221498,86,100,speaker
hindi_fake,high,energy_frac,0.21971120423528756,0.19562459623302933,0.2421845159574704,86,100,speaker
hindi_fake,high,proxy_frac,0.24608151834126432,0.22512320210489412,0.2664575950010057,86,100,speaker
hindi_fake,high,excess_frac,0.026370314105976792,0.01826759975061559,0.03463913201711128,86,100,speaker
