group,band,spearman_rho,p_value,n
english_real,low,0.9266726672667266,1.9552330260060058e-43,100
english_real,mid,0.9197359735973597,1.3839748547005161e-41,100
english_real,high,0.8505130513051303,4.2341734962678073e-29,100
english_fake,low,0.8889528952895289,5.246685142911079e-35,100
english_fake,mid,0.9077707770777078,9.346795889453907e-39,100
english_fake,high,0.7777377737773777,1.7845452949964976e-21,100
hindi_real,low,0.887128712871287,1.1141143219297807e-34,100
hindi_real,mid,0.8955775577557754,3.035885297560907e-36,100
hindi_real,high,0.9010981098109809,2.430490952175214e-37,100
hindi_fake,low,0.9358295829582957,3.542466106939968e-46,100
hindi_fake,mid,0.9373417341734172,1.1422701313381429e-46,100
hindi_fake,high,0.9294809480948094,3.0895717736575e-44,100
